route_id,service_id,trip_id,direction_id,shape_id
CR_MAIN,weekday,96301,1,SHP_CR_MAIN_CSMT_TO_AMBERNATH_f680
CR_MAIN,weekday,97601,1,SHP_CR_MAIN_CSMT_TO_KURLA_fe30
CR_MAIN,weekday,96401,1,SHP_CR_MAIN_CSMT_TO_KASARA_c8b5
CR_MAIN,weekday,96101,1,SHP_CR_MAIN_CSMT_TO_KARJAT_ddb3
CR_MAIN,weekday,97301,1,SHP_CR_MAIN_CSMT_TO_THANE_6b27
CR_MAIN,weekday,96403,1,SHP_CR_MAIN_CSMT_TO_KASARA_c8b5
CR_MAIN,weekday,95001,1,SHP_CR_MAIN_CSMT_TO_KHOPOLI_c41a
CR_MAIN,weekday,96107,1,SHP_CR_MAIN_CSMT_TO_KARJAT_ddb3
CR_MAIN,weekday,97003,1,SHP_CR_MAIN_CSMT_TO_KALYAN_636e
CR_MAIN,weekday,96405,1,SHP_CR_MAIN_CSMT_TO_KASARA_c8b5
CR_MAIN,weekday,96505,1,SHP_CR_MAIN_CSMT_TO_ASANGAON_7852
CR_MAIN,weekday,96303,1,SHP_CR_MAIN_CSMT_TO_AMBERNATH_f680
CR_MAIN,weekday,95701,1,SHP_CR_MAIN_CSMT_TO_KALYAN_b0c7
CR_MAIN,weekday,97303,1,SHP_CR_MAIN_KURLA_TO_THANE_b0da
CR_MAIN,weekday,96601,1,SHP_CR_MAIN_VIDYAVIHAR_TO_TITWALA_234b
CR_MAIN,weekday,96201,1,SHP_CR_MAIN_VIDYAVIHAR_TO_BADLAPUR_8735
CR_MAIN,weekday,97005,1,SHP_CR_MAIN_VIDYAVIHAR_TO_KALYAN_424c
CR_MAIN,weekday,96103,1,SHP_CR_MAIN_THANE_TO_KARJAT_2b9a
CR_MAIN,weekday,97001,1,SHP_CR_MAIN_THANE_TO_KALYAN_38e4
CR_MAIN,weekday,97201,1,SHP_CR_MAIN_THANE_TO_DOMBIVLI_a084
CR_MAIN,weekday,96105,1,SHP_CR_MAIN_THANE_TO_KARJAT_2b9a
CR_MAIN,weekday,96603,1,SHP_CR_MAIN_THANE_TO_TITWALA_cc39
CR_MAIN,weekday,96503,1,SHP_CR_MAIN_THANE_TO_ASANGAON_a906
CR_MAIN,weekday,96501,1,SHP_CR_MAIN_KALYAN_TO_ASANGAON_89ee
CR_MAIN,weekday,96001,1,SHP_CR_MAIN_KARJAT_TO_KHOPOLI_c31b
CR_MAIN,weekday,96605,1,SHP_CR_MAIN_CSMT_TO_TITWALA_6f57
CR_MAIN,weekday,96305,1,SHP_CR_MAIN_CSMT_TO_AMBERNATH_f680
CR_MAIN,weekday,95101,1,SHP_CR_MAIN_CSMT_TO_KARJAT_71f8
CR_MAIN,weekday,96607,1,SHP_CR_MAIN_CSMT_TO_TITWALA_6f57
CR_MAIN,weekday,96507,1,SHP_CR_MAIN_CSMT_TO_ASANGAON_7852
CR_MAIN,weekday,95703,1,SHP_CR_MAIN_CSMT_TO_KALYAN_b0c7
CR_MAIN,weekday,95103,1,SHP_CR_MAIN_CSMT_TO_KARJAT_fcb0
CR_MAIN,weekday,96609,1,SHP_CR_MAIN_CSMT_TO_TITWALA_6f57
CR_MAIN,weekday,97203,1,SHP_CR_MAIN_CSMT_TO_DOMBIVLI_8e24
CR_MAIN,weekday,95201,1,SHP_CR_MAIN_CSMT_TO_BADLAPUR_0c19
CR_MAIN,weekday,96611,1,SHP_CR_MAIN_CSMT_TO_TITWALA_6f57
CR_MAIN,weekday,97021,1,SHP_CR_MAIN_CSMT_TO_KALYAN_636e
CR_MAIN,weekday,97305,1,SHP_CR_MAIN_CSMT_TO_THANE_6b27
CR_MAIN,weekday,96309,1,SHP_CR_MAIN_CSMT_TO_AMBERNATH_f680
CR_MAIN,weekday,97017,1,SHP_CR_MAIN_PAREL_TO_KALYAN_01a9
CR_MAIN,weekday,97019,1,SHP_CR_MAIN_PAREL_TO_KALYAN_01a9
CR_MAIN,weekday,97009,1,SHP_CR_MAIN_VIDYAVIHAR_TO_KALYAN_424c
CR_MAIN,weekday,97011,1,SHP_CR_MAIN_VIDYAVIHAR_TO_KALYAN_424c
CR_MAIN,weekday,97013,1,SHP_CR_MAIN_VIDYAVIHAR_TO_KALYAN_424c
CR_MAIN,weekday,97015,1,SHP_CR_MAIN_VIDYAVIHAR_TO_KALYAN_424c
CR_MAIN,weekday,96307,1,SHP_CR_MAIN_VIDYAVIHAR_TO_AMBERNATH_a630
CR_MAIN,weekday,97205,1,SHP_CR_MAIN_VIDYAVIHAR_TO_DOMBIVLI_0c95
CR_MAIN,weekday,97007,1,SHP_CR_MAIN_THANE_TO_KALYAN_38e4
CR_MAIN,weekday,96509,1,SHP_CR_MAIN_KALYAN_TO_ASANGAON_89ee
CR_MAIN,weekday,96003,1,SHP_CR_MAIN_KARJAT_TO_KHOPOLI_c31b
CR_MAIN,weekday,95105,1,SHP_CR_MAIN_CSMT_TO_KARJAT_8034
CR_MAIN,weekday,95401,1,SHP_CR_MAIN_CSMT_TO_KASARA_3861
CR_MAIN,weekday,96613,1,SHP_CR_MAIN_CSMT_TO_TITWALA_6f57
CR_MAIN,weekday,97307,1,SHP_CR_MAIN_CSMT_TO_THANE_6b27
CR_MAIN,weekday,95203,1,SHP_CR_MAIN_CSMT_TO_BADLAPUR_34eb
CR_MAIN,weekday,97025,1,SHP_CR_MAIN_CSMT_TO_KALYAN_636e
CR_MAIN,weekday,97309,1,SHP_CR_MAIN_CSMT_TO_THANE_6b27
CR_MAIN,weekday,97207,1,SHP_CR_MAIN_CSMT_TO_DOMBIVLI_8e24
CR_MAIN,weekday,95705,1,SHP_CR_MAIN_CSMT_TO_KALYAN_1a49
CR_MAIN,weekday,97027,1,SHP_CR_MAIN_CSMT_TO_KALYAN_636e
CR_MAIN,weekday,95501,1,SHP_CR_MAIN_CSMT_TO_ASANGAON_fa80
CR_MAIN,weekday,97311,1,SHP_CR_MAIN_CSMT_TO_THANE_6b27
CR_MAIN,weekday,95003,1,SHP_CR_MAIN_CSMT_TO_KHOPOLI_08de
CR_MAIN,weekday,97029,1,SHP_CR_MAIN_CSMT_TO_KALYAN_636e
CR_MAIN,weekday,97209,1,SHP_CR_MAIN_CSMT_TO_DOMBIVLI_8e24
CR_MAIN,weekday,96511,1,SHP_CR_MAIN_CSMT_TO_ASANGAON_7852
CR_MAIN,weekday,95707,1,SHP_CR_MAIN_CSMT_TO_KALYAN_b0c7
CR_MAIN,weekday,97313,1,SHP_CR_MAIN_CSMT_TO_THANE_6b27
CR_MAIN,weekday,95205,1,SHP_CR_MAIN_CSMT_TO_BADLAPUR_65a0
CR_MAIN,weekday,97033,1,SHP_CR_MAIN_CSMT_TO_KALYAN_636e
CR_MAIN,weekday,97315,1,SHP_CR_MAIN_CSMT_TO_THANE_6b27
CR_MAIN,weekday,95901,1,SHP_CR_MAIN_CSMT_TO_THANE_0bdb
CR_MAIN,weekday,97031,1,SHP_CR_MAIN_PAREL_TO_KALYAN_01a9
CR_MAIN,weekday,97023,1,SHP_CR_MAIN_VIDYAVIHAR_TO_KALYAN_424c
CR_MAIN,weekday,96615,1,SHP_CR_MAIN_THANE_TO_TITWALA_cc39
CR_MAIN,weekday,97317,1,SHP_CR_MAIN_CSMT_TO_THANE_6b27
CR_MAIN,weekday,97037,1,SHP_CR_MAIN_CSMT_TO_KALYAN_636e
CR_MAIN,weekday,95107,1,SHP_CR_MAIN_CSMT_TO_KARJAT_fcb0
CR_MAIN,weekday,97319,1,SHP_CR_MAIN_CSMT_TO_THANE_6b27
CR_MAIN,weekday,97211,1,SHP_CR_MAIN_CSMT_TO_DOMBIVLI_8e24
CR_MAIN,weekday,97323,1,SHP_CR_MAIN_CSMT_TO_THANE_6b27
CR_MAIN,weekday,97603,1,SHP_CR_MAIN_CSMT_TO_KURLA_fe30
CR_MAIN,weekday,95403,1,SHP_CR_MAIN_CSMT_TO_KASARA_2c81
CR_MAIN,weekday,95709,1,SHP_CR_MAIN_CSMT_TO_KALYAN_a90c
CR_MAIN,weekday,97501,1,SHP_CR_MAIN_CSMT_TO_GHATKOPAR_3424
CR_MAIN,weekday,97605,1,SHP_CR_MAIN_CSMT_TO_KURLA_fe30
CR_MAIN,weekday,95303,1,SHP_CR_MAIN_CSMT_TO_AMBERNATH_b907
CR_MAIN,weekday,97325,1,SHP_CR_MAIN_CSMT_TO_THANE_6b27
CR_MAIN,weekday,95903,1,SHP_CR_MAIN_CSMT_TO_THANE_b53c
CR_MAIN,weekday,97041,1,SHP_CR_MAIN_CSMT_TO_THAKURLI_ac1e
CR_MAIN,weekday,95207,1,SHP_CR_MAIN_CSMT_TO_BADLAPUR_7d2c
CR_MAIN,weekday,97607,1,SHP_CR_MAIN_CSMT_TO_KURLA_fe30
CR_MAIN,weekday,95711,1,SHP_CR_MAIN_CSMT_TO_KALYAN_1a49
CR_MAIN,weekday,95109,1,SHP_CR_MAIN_CSMT_TO_KARJAT_ac33
CR_MAIN,weekday,97035,1,SHP_CR_MAIN_PAREL_TO_KALYAN_01a9
CR_MAIN,weekday,97321,1,SHP_CR_MAIN_PAREL_TO_THANE_7e0b
CR_MAIN,weekday,95301,1,SHP_CR_MAIN_DADAR_TO_AMBERNATH_6b6e
CR_MAIN,weekday,97039,1,SHP_CR_MAIN_VIDYAVIHAR_TO_KALYAN_424c
CR_MAIN,weekday,96617,1,SHP_CR_MAIN_THANE_TO_TITWALA_cc39
CR_MAIN,weekday,96005,1,SHP_CR_MAIN_KARJAT_TO_KHOPOLI_c31b
CR_MAIN,weekday,97329,1,SHP_CR_MAIN_CSMT_TO_THANE_6b27
CR_MAIN,weekday,95905,1,SHP_CR_MAIN_CSMT_TO_THANE_6e61
CR_MAIN,weekday,97043,1,SHP_CR_MAIN_CSMT_TO_KALYAN_636e
